業務名稱,頻段起迄,單位
第三代行動通信業務,825~845,MHz
第三代行動通信業務,870~890,MHz
第三代行動通信業務,1915~1920,MHz
第三代行動通信業務,1920~1935,MHz
第三代行動通信業務,1935~1945,MHz
第三代行動通信業務,1945~1960,MHz
第三代行動通信業務,1960~1975,MHz
第三代行動通信業務,2010~2025,MHz
第三代行動通信業務,2110~2125,MHz
第三代行動通信業務,2125~2135,MHz
第三代行動通信業務,2135~2150,MHz
第三代行動通信業務,2150~2165,MHz
行動電話業務(2G),895~915,MHz
行動電話業務(2G),940~960,MHz
行動電話業務(2G),1710~1755,MHz
行動電話業務(2G),1805~1850,MHz
1900兆赫數位式低功率無線電話業務,1885~1895,MHz
1900兆赫數位式低功率無線電話業務,1895~1900,MHz
1900兆赫數位式低功率無線電話業務,1900~1905,MHz
1900兆赫數位式低功率無線電話業務,1905~1915,MHz
1900兆赫數位式低功率無線電話業務,1975~1980,MHz
1900兆赫數位式低功率無線電話業務,1980~1985,MHz
無線寬頻接取業務,2565~2595,MHz
無線寬頻接取業務,2595~2625,MHz
無線寬頻接取業務,2660~2690,MHz
